event,date,fighter_1,fighter_1_elo_before,fighter_1_elo_after,method,round,fighter_2,fighter_2_elo_before,fighter_2_elo_after
UFC 1: The Beginning,1993-11-12,Gerard Gordeau,1500.0,1516.0,KO/TKO,1,Teila Tuli,1500.0,1484.0
UFC 1: The Beginning,1993-11-12,Royce Gracie,1500.0,1516.736306793522,SUB,1,Gerard Gordeau,1516.0,1499.263693206478
UFC 1: The Beginning,1993-11-12,Jason DeLucia,1500.0,1516.0,SUB,1,Trent Jenkins,1500.0,1484.0
UFC 1: The Beginning,1993-11-12,Royce Gracie,1516.736306793522,1531.9661669788793,SUB,1,Ken Shamrock,1500.0,1484.7701398146428
UFC 1: The Beginning,1993-11-12,Kevin Rosier,1500.0,1516.0,KO/TKO,1,Zane Frazier,1500.0,1484.0
UFC 1: The Beginning,1993-11-12,Ken Shamrock,1484.7701398146428,1501.471051915621,SUB,1,Patrick Smith,1500.0,1483.2990878990217
UFC 1: The Beginning,1993-11-12,Royce Gracie,1531.9661669788793,1546.498210389158,SUB,1,Art Jimmerson,1500.0,1485.4679565897213
UFC 1: The Beginning,1993-11-12,Gerard Gordeau,1499.263693206478,1516.0338330211207,KO/TKO,1,Kevin Rosier,1516.0,1499.2298601853572
UFC 2: No Way Out,1994-03-11,Royce Gracie,1546.498210389158,1559.619464292108,KO/TKO,1,Patrick Smith,1483.2990878990217,1470.1778339960717
UFC 2: No Way Out,1994-03-11,Royce Gracie,1559.619464292108,1572.900521658784,SUB,1,Remco Pardoel,1500.0,1486.7189426333239
UFC 2: No Way Out,1994-03-11,Patrick Smith,1470.1778339960717,1487.547832582374,SUB,1,Johnny Rhodes,1500.0,1482.6300014136978
UFC 2: No Way Out,1994-03-11,Royce Gracie,1572.900521658784,1586.3033345811732,SUB,1,Jason DeLucia,1516.0,1502.597187077611
UFC 2: No Way Out,1994-03-11,Remco Pardoel,1486.7189426333239,1503.3302601993207,KO/TKO,1,Orlando Wiet,1500.0,1483.3886824340032
UFC 2: No Way Out,1994-03-11,Johnny Rhodes,1482.6300014136978,1499.4292536138742,SUB,1,Fred Ettish,1500.0,1483.2007477998236
UFC 2: No Way Out,1994-03-11,Patrick Smith,1487.547832582374,1504.12103067643,KO/TKO,1,Scott Morris,1500.0,1483.4268019059439
UFC 2: No Way Out,1994-03-11,Royce Gracie,1586.3033345811732,1598.4086952569016,SUB,1,Minoki Ichihara,1500.0,1487.8946393242716
UFC 2: No Way Out,1994-03-11,Jason DeLucia,1502.597187077611,1518.4775844204364,SUB,1,Scott Baker,1500.0,1484.1196026571745
UFC 2: No Way Out,1994-03-11,Remco Pardoel,1503.3302601993207,1519.1769007462226,SUB,1,Alberta Cerra Leon,1500.0,1484.1533594530981
UFC 2: No Way Out,1994-03-11,Orlando Wiet,1483.3886824340032,1500.153079518561,KO/TKO,1,Robert Lucarelli,1500.0,1483.235602915442
UFC 2: No Way Out,1994-03-11,Frank Hamaker,1500.0,1516.0,SUB,1,Thaddeus Luster,1500.0,1484.0
UFC 2: No Way Out,1994-03-11,Johnny Rhodes,1499.4292536138742,1515.4555374326426,KO/TKO,1,David Levicki,1500.0,1483.9737161812316
UFC 2: No Way Out,1994-03-11,Patrick Smith,1504.12103067643,1519.9312590999318,SUB,1,Ray Wizard,1500.0,1484.1897715764983
UFC 2: No Way Out,1994-03-11,Scott Morris,1483.4268019059439,1500.1894475215065,SUB,1,Sean Daugherty,1500.0,1483.2373543844374
UFC 3: The American Dream,1994-09-09,Steve Jennum,1500.0,1516.0,KO/TKO,1,Harold Howard,1500.0,1484.0
UFC 3: The American Dream,1994-09-09,Ken Shamrock,1501.471051915621,1517.4033078761977,SUB,1,Felix Lee Mitchell,1500.0,1484.0677440394234
UFC 3: The American Dream,1994-09-09,Ken Shamrock,1517.4033078761977,1532.6025255615743,KO/TKO,1,Christophe Leninger,1500.0,1484.8007823146233
UFC 3: The American Dream,1994-09-09,Harold Howard,1484.0,1500.736306793522,KO/TKO,1,Roland Payne,1500.0,1483.263693206478
UFC 3: The American Dream,1994-09-09,Keith Hackney,1500.0,1516.0,KO/TKO,1,Emmanuel Yarborough,1500.0,1484.0
UFC 3: The American Dream,1994-09-09,Royce Gracie,1598.4086952569016,1609.9942331703267,SUB,1,Kimo Leopoldo,1500.0,1488.414462086575
UFC 4: Revenge of the Warriors,1994-12-16,Royce Gracie,1609.9942331703267,1621.0915244550952,SUB,1,Dan Severn,1500.0,1488.9027087152315
UFC 4: Revenge of the Warriors,1994-12-16,Dan Severn,1488.9027087152315,1505.4135841450181,SUB,1,Marcus Bossett,1500.0,1483.4891245702133
UFC 4: Revenge of the Warriors,1994-12-16,Royce Gracie,1621.0915244550952,1632.394269617276,SUB,1,Keith Hackney,1516.0,1504.6972548378192
UFC 4: Revenge of the Warriors,1994-12-16,Steve Jennum,1516.0,1531.263693206478,SUB,1,Melton Bowen,1500.0,1484.736306793522
UFC 4: Revenge of the Warriors,1994-12-16,Dan Severn,1505.4135841450181,1521.1642995558072,SUB,1,Anthony Macias,1500.0,1484.249284589211
UFC 4: Revenge of the Warriors,1994-12-16,Royce Gracie,1632.394269617276,1642.5762084054288,SUB,1,Ron van Clief,1500.0,1489.8180612118472
UFC 4: Revenge of the Warriors,1994-12-16,Guy Mezger,1500.0,1516.0,KO/TKO,1,Jason Fairn,1500.0,1484.0
UFC 4: Revenge of the Warriors,1994-12-16,Marcus Bossett,1483.4891245702133,1500.2489066173146,KO/TKO,1,Eldo Xavier Dias,1500.0,1483.2402179528988
UFC 4: Revenge of the Warriors,1994-12-16,Joe Charles,1500.0,1515.9645338089533,SUB,1,Kevin Rosier,1499.2298601853572,1483.265326376404
UFC 4: Revenge of the Warriors,1994-12-16,Keith Hackney,1504.6972548378192,1520.4809514372857,SUB,1,Joe Son,1500.0,1484.2163034005334
UFC 5: The Return of the Beast,1995-04-07,Dan Severn,1521.1642995558072,1536.1908513122753,KO/TKO,1,Oleg Taktarov,1500.0,1484.973448243532
UFC 5: The Return of the Beast,1995-04-07,Dan Severn,1536.1908513122753,1550.530202955302,SUB,1,Dave Beneteau,1500.0,1485.6606483569733
UFC 5: The Return of the Beast,1995-04-07,Ken Shamrock,1532.6025255615743,1537.504376741776,Other,2,Royce Gracie,1642.5762084054288,1637.6743572252271
UFC 5: The Return of the Beast,1995-04-07,Dave Beneteau,1485.6606483569733,1502.3206252167456,KO/TKO,1,Todd Medina,1500.0,1483.3400231402277
UFC 5: The Return of the Beast,1995-04-07,Guy Mezger,1516.0,1531.263693206478,KO/TKO,1,John Dowdy,1500.0,1484.736306793522
UFC 5: The Return of the Beast,1995-04-07,Oleg Taktarov,1484.973448243532,1501.665015374394,SUB,1,Ernie Verdicia,1500.0,1483.308432869138
UFC 5: The Return of the Beast,1995-04-07,Todd Medina,1483.3400231402277,1500.1066559385263,SUB,1,Larry Cureton,1500.0,1483.2333672017014
UFC 5: The Return of the Beast,1995-04-07,Jon Hess,1500.0,1516.0,KO/TKO,1,Andy Anderson,1500.0,1484.0
UFC 5: The Return of the Beast,1995-04-07,Dave Beneteau,1502.3206252167456,1518.213758065352,KO/TKO,1,Asbel Cancio,1500.0,1484.1068671513935
UFC 5: The Return of the Beast,1995-04-07,Dan Severn,1550.530202955302,1564.9436261863596,SUB,1,Joe Charles,1515.9645338089533,1501.5511105778958
UFC 6: Clash of the Titans,1995-07-14,Oleg Taktarov,1501.665015374394,1517.5883391697648,SUB,1,David Abbott,1500.0,1484.0766762046292
UFC 6: Clash of the Titans,1995-07-14,Ken Shamrock,1537.504376741776,1554.7653802183281,SUB,1,Dan Severn,1564.9436261863596,1547.6826227098074
UFC 6: Clash of the Titans,1995-07-14,Oleg Taktarov,1517.5883391697648,1532.0577140059697,SUB,1,Anthony Macias,1484.249284589211,1469.779909753006
UFC 6: Clash of the Titans,1995-07-14,David Abbott,1484.0766762046292,1500.8094593706808,KO/TKO,1,Paul Varelans,1500.0,1483.2672168339484
UFC 6: Clash of the Titans,1995-07-14,Oleg Taktarov,1532.0577140059697,1547.4205134691267,SUB,1,Dave Beneteau,1518.213758065352,1502.850958602195
UFC 6: Clash of the Titans,1995-07-14,Patrick Smith,1519.9312590999318,1535.0143962598768,SUB,1,Rudyard Moncayo,1500.0,1484.916862840055
UFC 6: Clash of the Titans,1995-07-14,Paul Varelans,1483.2672168339484,1500.0371947554245,KO/TKO,1,Cal Worsham,1500.0,1483.230022078524
UFC 6: Clash of the Titans,1995-07-14,David Abbott,1500.8094593706808,1516.772182456521,KO/TKO,1,John Matua,1500.0,1484.0372769141597
UFC 6: Clash of the Titans,1995-07-14,Anthony Macias,1469.779909753006,1487.1680972835238,KO/TKO,1,He-Man Gipson,1500.0,1482.6118124694822
UFC 6: Clash of the Titans,1995-07-14,Joel Sutton,1500.0,1516.0,KO/TKO,1,Jack McGlaughlin,1500.0,1484.0
UFC 7: The Brawl in Buffalo,1995-09-08,Marco Ruas,1500.0,1516.001712881781,KO/TKO,1,Paul Varelans,1500.0371947554245,1484.0354818736434
UFC 7: The Brawl in Buffalo,1995-09-08,Ken Shamrock,1554.7653802183281,1554.4271869836427,Other,2,Oleg Taktarov,1547.4205134691267,1547.758706703812
UFC 7: The Brawl in Buffalo,1995-09-08,Marco Ruas,1516.001712881781,1532.1479316159587,SUB,1,Remco Pardoel,1519.1769007462226,1503.030682012045
UFC 7: The Brawl in Buffalo,1995-09-08,Paul Varelans,1484.0354818736434,1500.77015811927,SUB,1,Mark Hall,1500.0,1483.2653237543734
UFC 7: The Brawl in Buffalo,1995-09-08,Marco Ruas,1532.1479316159587,1545.9100986164808,SUB,1,Larry Cureton,1483.2333672017014,1469.4712002011793
UFC 7: The Brawl in Buffalo,1995-09-08,Joel Sutton,1516.0,1531.263693206478,KO/TKO,1,Geza Kalman,1500.0,1484.736306793522
UFC 7: The Brawl in Buffalo,1995-09-08,Mark Hall,1483.2653237543734,1500.0692147884422,KO/TKO,1,Harold Howard,1500.736306793522,1483.9324157594533
UFC 7: The Brawl in Buffalo,1995-09-08,Paul Varelans,1500.77015811927,1516.7346910852682,KO/TKO,1,Gerry Harris,1500.0,1484.0354670340018
UFC 7: The Brawl in Buffalo,1995-09-08,Scott Bessac,1500.0,1516.0,SUB,1,David Hood,1500.0,1484.0
UFC 7: The Brawl in Buffalo,1995-09-08,Onassis Parungao,1500.0,1516.0,KO/TKO,1,Francesco Maturi,1500.0,1484.0
UFC 7: The Brawl in Buffalo,1995-09-08,Remco Pardoel,1503.030682012045,1518.891117487435,SUB,1,Ryan Parker,1500.0,1484.13956452461
UFC - Ultimate Ultimate '95,1995-12-16,Dan Severn,1547.6826227098074,1562.2628881824407,U-DEC,1,David Abbott,1516.772182456521,1502.1919169838877
UFC - Ultimate Ultimate '95,1995-12-16,Dan Severn,1562.2628881824407,1577.5953336922128,U-DEC,2,Oleg Taktarov,1547.758706703812,1532.42626119404
UFC - Ultimate Ultimate '95,1995-12-16,Oleg Taktarov,1532.42626119404,1549.0469032855547,U-DEC,1,Marco Ruas,1545.9100986164808,1529.2894565249662
UFC - Ultimate Ultimate '95,1995-12-16,Oleg Taktarov,1549.0469032855547,1562.9319502081019,SUB,1,Dave Beneteau,1502.850958602195,1488.965911679648
UFC - Ultimate Ultimate '95,1995-12-16,Joe Charles,1501.5511105778958,1518.2161231903956,SUB,1,Scott Bessac,1516.0,1499.3349873875002
UFC - Ultimate Ultimate '95,1995-12-16,Dan Severn,1577.5953336922128,1590.820917190733,SUB,1,Paul Varelans,1516.7346910852682,1503.5091075867479
UFC - Ultimate Ultimate '95,1995-12-16,David Abbott,1502.1919169838877,1519.527605909062,SUB,1,Steve Jennum,1531.263693206478,1513.9280042813036
UFC - Ultimate Ultimate '95,1995-12-16,Mark Hall,1500.0692147884422,1515.3297273156072,SUB,1,Trent Jenkins,1484.0,1468.739487472835
UFC - Ultimate Ultimate '95,1995-12-16,Marco Ruas,1529.2894565249662,1544.8838967650408,SUB,1,Keith Hackney,1520.4809514372857,1504.8865111972111
UFC 8: David vs Goliath,1996-02-16,Sam Adkins,1500.0,1516.0,KO/TKO,1,Keith Mielke,1500.0,1484.0
UFC 8: David vs Goliath,1996-02-16,Don Frye,1500.0,1516.0,KO/TKO,1,Thomas Ramirez,1500.0,1484.0
UFC 8: David vs Goliath,1996-02-16,Paul Varelans,1503.5091075867479,1519.3475127051215,U-DEC,1,Joe Moreira,1500.0,1484.1615948816263
UFC 8: David vs Goliath,1996-02-16,Jerry Bohlander,1500.0,1516.0,SUB,1,Scott Ferrozzo,1500.0,1484.0
UFC 8: David vs Goliath,1996-02-16,Gary Goodridge,1500.0,1516.0,KO/TKO,1,Paul Herrera,1500.0,1484.0
UFC 8: David vs Goliath,1996-02-16,Don Frye,1516.0,1532.0,KO/TKO,1,Sam Adkins,1516.0,1500.0
UFC 8: David vs Goliath,1996-02-16,Gary Goodridge,1516.0,1532.0,KO/TKO,1,Jerry Bohlander,1516.0,1500.0
UFC 8: David vs Goliath,1996-02-16,Ken Shamrock,1554.4271869836427,1567.423249304823,SUB,1,Kimo Leopoldo,1488.414462086575,1475.4183997653947
UFC 8: David vs Goliath,1996-02-16,Don Frye,1532.0,1548.0,KO/TKO,1,Gary Goodridge,1532.0,1516.0
UFC 9: Motor City Madness,1996-05-17,Dan Severn,1590.820917190733,1605.7450407122221,S-DEC,3,Ken Shamrock,1567.423249304823,1552.499125783334
UFC 9: Motor City Madness,1996-05-17,Don Frye,1548.0,1561.8034754597227,KO/TKO,1,Amaury Bitetti,1500.0,1486.1965245402773
UFC 9: Motor City Madness,1996-05-17,Mark Hall,1515.3297273156072,1530.6242250470732,KO/TKO,1,Koji Kitao,1500.0,1484.705502268534
UFC 9: Motor City Madness,1996-05-17,Mark Schultz,1500.0,1516.736306793522,KO/TKO,1,Gary Goodridge,1516.0,1499.263693206478
UFC 9: Motor City Madness,1996-05-17,Rafael Carino,1500.0,1516.0,KO/TKO,1,Matt Andersen,1500.0,1484.0
UFC 9: Motor City Madness,1996-05-17,Cal Worsham,1483.230022078524,1499.2654808141515,KO/TKO,1,Zane Frazier,1484.0,1467.9645412643724
UFC 9: Motor City Madness,1996-05-17,Steve Nelmark,1500.0,1516.0,KO/TKO,1,Tai Bowden,1500.0,1484.0
UFC 10: The Tournament,1996-07-12,Geza Kalman,1484.736306793522,1501.4387739660467,KO/TKO,1,Dieusel Berto,1500.0,1483.2975328274754
UFC 10: The Tournament,1996-07-12,Sam Adkins,1500.0,1515.2668063558294,U-DEC,2,Felix Lee Mitchell,1484.0677440394234,1468.800937683594
UFC 10: The Tournament,1996-07-12,Don Frye,1561.8034754597227,1576.371460081421,KO/TKO,1,Mark Hall,1530.6242250470732,1516.0562404253749
UFC 10: The Tournament,1996-07-12,Brian Johnston,1500.0,1516.0,KO/TKO,1,Scott Fiedler,1500.0,1484.0
UFC 10: The Tournament,1996-07-12,Mark Coleman,1500.0,1516.0,KO/TKO,1,Moti Horenstein,1500.0,1484.0
UFC 10: The Tournament,1996-07-12,Gary Goodridge,1499.263693206478,1515.2976013366472,KO/TKO,1,John Campetella,1500.0,1483.9660918698307
UFC 10: The Tournament,1996-07-12,Don Frye,1576.371460081421,1589.6188992286102,KO/TKO,1,Brian Johnston,1516.0,1502.7525608528108
UFC 10: The Tournament,1996-07-12,Mark Coleman,1516.0,1531.9676533902368,SUB,1,Gary Goodridge,1515.2976013366472,1499.3299479464104
UFC 10: The Tournament,1996-07-12,Mark Coleman,1531.9676533902368,1550.5984897933931,KO/TKO,1,Don Frye,1589.6188992286102,1570.9880628254539
UFC 11: The Proving Ground,1996-09-20,Scott Ferrozzo,1484.0,1501.630427856296,U-DEC,2,David Abbott,1519.527605909062,1501.897178052766
UFC 11: The Proving Ground,1996-09-20,Mark Coleman,1550.5984897933931,1564.4089271902023,KO/TKO,1,Brian Johnston,1502.7525608528108,1488.9421234560016
UFC 11: The Proving Ground,1996-09-20,Jerry Bohlander,1500.0,1516.0,U-DEC,1,Fabio Gurgel,1500.0,1484.0
UFC 11: The Proving Ground,1996-09-20,Roberto Traven,1500.0,1516.0,KO/TKO,1,Dave Berry,1500.0,1484.0
UFC 11: The Proving Ground,1996-09-20,Brian Johnston,1488.9421234560016,1505.4511856138597,KO/TKO,1,Reza Nasri,1500.0,1483.4909378421419
UFC 11: The Proving Ground,1996-09-20,Mark Coleman,1564.4089271902023,1577.4763050471654,SUB,1,Julian Sanchez,1500.0,1486.932622143037
UFC 11: The Proving Ground,1996-09-20,Scott Ferrozzo,1501.630427856296,1517.5553444299126,SUB,1,Sam Fulton,1500.0,1484.0750834263833
UFC 11: The Proving Ground,1996-09-20,David Abbott,1501.897178052766,1518.5125684670606,SUB,1,Sam Adkins,1515.2668063558294,1498.6514159415349
UFC - Ultimate Ultimate '96,1996-12-07,Don Frye,1570.9880628254539,1584.5896866286155,SUB,1,David Abbott,1518.5125684670606,1504.910944663899
UFC - Ultimate Ultimate '96,1996-12-07,David Abbott,1504.910944663899,1521.4214412006243,KO/TKO,1,Steve Nelmark,1516.0,1499.4895034632748
UFC - Ultimate Ultimate '96,1996-12-07,Don Frye,1584.5896866286155,1597.4739115252266,SUB,1,Mark Hall,1516.0562404253749,1503.1720155287637
UFC - Ultimate Ultimate '96,1996-12-07,Ken Shamrock,1552.499125783334,1566.3456349913984,SUB,1,Brian Johnston,1505.4511856138597,1491.6046764057953
UFC - Ultimate Ultimate '96,1996-12-07,Kimo Leopoldo,1475.4183997653947,1493.4306983140148,KO/TKO,1,Paul Varelans,1519.3475127051215,1501.3352141565015
UFC - Ultimate Ultimate '96,1996-12-07,David Abbott,1521.4214412006243,1536.4025023532693,KO/TKO,1,Cal Worsham,1499.2654808141515,1484.2844196615065
UFC - Ultimate Ultimate '96,1996-12-07,Don Frye,1597.4739115252266,1609.070715108028,SUB,1,Gary Goodridge,1499.3299479464104,1487.733144363609
UFC - Ultimate Ultimate '96,1996-12-07,Tai Bowden,1484.0,1500.736306793522,KO/TKO,1,Jack Nilson,1500.0,1483.263693206478
UFC - Ultimate Ultimate '96,1996-12-07,Steve Nelmark,1499.4895034632748,1515.5244752152241,SUB,1,Marcus Bossett,1500.2489066173146,1484.2139348653652
UFC - Ultimate Ultimate '96,1996-12-07,Mark Hall,1503.1720155287637,1517.594312397004,KO/TKO,1,Felix Lee Mitchell,1468.800937683594,1454.3786408153537
UFC 12: Judgement Day,1997-02-07,Mark Coleman,1577.4763050471654,1594.775263289563,SUB,1,Dan Severn,1605.7450407122221,1588.4460824698244
UFC 12: Judgement Day,1997-02-07,Vitor Belfort,1500.0,1516.8077661651607,KO/TKO,1,Scott Ferrozzo,1517.5553444299126,1500.7475782647518
