,Event,Date
399,UFC Fight Night: Holloway vs. Oliveira,"Aug 23, 2015"
400,UFC Fight Night: Teixeira vs. Saint Preux,"Aug 8, 2015"
401,UFC 190: Rousey vs. Correia,"Aug 1, 2015"
402,UFC on Fox: Dillashaw vs. Barão 2,"Jul 25, 2015"
403,UFC Fight Night: Bisping vs. Leites,"Jul 18, 2015"
404,UFC Fight Night: Mir vs. Duffee,"Jul 15, 2015"
405,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,"Jul 12, 2015"
406,UFC 189: Mendes vs. McGregor,"Jul 11, 2015"
407,UFC Fight Night: Machida vs. Romero,"Jun 27, 2015"
408,UFC Fight Night: Jędrzejczyk vs. Penne,"Jun 20, 2015"
409,UFC 188: Velasquez vs. Werdum,"Jun 13, 2015"
410,UFC Fight Night: Boetsch vs. Henderson,"Jun 6, 2015"
411,UFC Fight Night: Condit vs. Alves,"May 30, 2015"
412,UFC 187: Johnson vs. Cormier,"May 23, 2015"
413,UFC Fight Night: Edgar vs. Faber,"May 16, 2015"
414,UFC Fight Night: Miocic vs. Hunt,"May 10, 2015"
415,UFC 186: Johnson vs. Horiguchi,"Apr 25, 2015"
416,UFC on Fox: Machida vs. Rockhold,"Apr 18, 2015"
417,UFC Fight Night: Gonzaga vs. Cro Cop 2,"Apr 11, 2015"
418,UFC Fight Night: Mendes vs. Lamas,"Apr 4, 2015"
419,UFC Fight Night: Maia vs. LaFlare,"Mar 21, 2015"
420,UFC 185: Pettis vs. dos Anjos,"Mar 14, 2015"
421,UFC 184: Rousey vs. Zingano,"Feb 28, 2015"
422,UFC Fight Night: Bigfoot vs. Mir,"Feb 22, 2015"
423,UFC Fight Night: Henderson vs. Thatch,"Feb 14, 2015"
424,UFC 183: Silva vs. Diaz,"Jan 31, 2015"
425,UFC on Fox: Gustafsson vs. Johnson,"Jan 24, 2015"
426,UFC Fight Night: McGregor vs. Siver,"Jan 18, 2015"
427,UFC 182: Jones vs. Cormier,"Jan 3, 2015"
428,UFC Fight Night: Machida vs. Dollaway,"Dec 20, 2014"
429,UFC on Fox: dos Santos vs. Miocic,"Dec 13, 2014"
430,The Ultimate Fighter: A Champion Will Be Crowned Finale,"Dec 12, 2014"
431,UFC 181: Hendricks vs. Lawler II,"Dec 6, 2014"
432,UFC Fight Night: Edgar vs. Swanson,"Nov 22, 2014"
433,UFC 180: Werdum vs. Hunt,"Nov 15, 2014"
434,UFC Fight Night: Shogun vs. Saint Preux,"Nov 8, 2014"
435,UFC Fight Night: Rockhold vs. Bisping,"Nov 8, 2014"
436,UFC 179: Aldo vs. Mendes 2,"Oct 25, 2014"
437,UFC Fight Night: MacDonald vs. Saffiedine,"Oct 4, 2014"
438,UFC Fight Night: Nelson vs. Story,"Oct 4, 2014"
439,UFC 178: Johnson vs. Cariaso,"Sep 27, 2014"
440,UFC Fight Night: Hunt vs. Nelson,"Sep 20, 2014"
441,UFC Fight Night: Bigfoot vs. Arlovski,"Sep 13, 2014"
442,UFC Fight Night: Jacaré vs. Mousasi,"Sep 5, 2014"
443,UFC 177: Dillashaw vs. Soto,"Aug 30, 2014"
444,UFC Fight Night: Henderson vs. dos Anjos,"Aug 23, 2014"
445,UFC Fight Night: Bisping vs. Le,"Aug 23, 2014"
446,UFC Fight Night: Bader vs. Saint Preux,"Aug 16, 2014"
447,UFC 176: Aldo vs. Mendes II,"Aug 2, 2014"
448,UFC on Fox: Lawler vs. Brown,"Jul 26, 2014"
449,UFC Fight Night: McGregor vs. Brandão,"Jul 19, 2014"
450,UFC Fight Night: Cowboy vs. Miller,"Jul 16, 2014"
451,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,"Jul 6, 2014"
452,UFC 175: Weidman vs. Machida,"Jul 5, 2014"
453,UFC Fight Night: Swanson vs. Stephens,"Jun 28, 2014"
454,UFC Fight Night: Te Huna vs. Marquardt,"Jun 28, 2014"
455,UFC 174: Johnson vs. Bagautinov,"Jun 14, 2014"
456,UFC Fight Night: Henderson vs. Khabilov,"Jun 7, 2014"
457,The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado,"May 31, 2014"
458,UFC Fight Night: Muñoz vs. Mousasi,"May 31, 2014"
459,UFC 173: Barão vs. Dillashaw,"May 24, 2014"
460,UFC Fight Night: Brown vs. Silva,"May 10, 2014"
461,UFC 172: Jones vs. Teixeira,"Apr 26, 2014"
462,UFC on Fox: Werdum vs. Browne,"Apr 19, 2014"
463,The Ultimate Fighter Nations Finale: Bisping vs. Kennedy,"Apr 16, 2014"
464,UFC Fight Night: Nogueira vs. Nelson,"Apr 11, 2014"
465,UFC Fight Night: Shogun vs. Henderson 2,"Mar 23, 2014"
466,UFC 171: Hendricks vs. Lawler,"Mar 15, 2014"
467,UFC Fight Night: Gustafsson vs. Manuwa,"Mar 8, 2014"
468,The Ultimate Fighter China Finale: Kim vs. Hathaway,"Mar 1, 2014"
469,UFC 170: Rousey vs. McMann,"Feb 22, 2014"
470,UFC Fight Night: Machida vs. Mousasi,"Feb 15, 2014"
471,UFC 169: Barão vs. Faber 2,"Feb 1, 2014"
472,UFC on Fox: Henderson vs. Thomson,"Jan 25, 2014"
473,UFC Fight Night: Rockhold vs. Philippou,"Jan 15, 2014"
474,UFC Fight Night: Saffiedine vs. Lim,"Jan 4, 2014"
475,UFC 168: Weidman vs. Silva 2,"Dec 28, 2013"
476,UFC on Fox: Johnson vs. Benavidez 2,"Dec 14, 2013"
477,UFC Fight Night: Hunt vs. Bigfoot,"Dec 7, 2013"
478,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,"Nov 30, 2013"
479,UFC 167: St-Pierre vs. Hendricks,"Nov 16, 2013"
480,UFC Fight Night: Belfort vs. Henderson 2,"Nov 9, 2013"
481,UFC: Fight for the Troops 3,"Nov 6, 2013"
482,UFC Fight Night: Machida vs. Muñoz,"Oct 26, 2013"
483,UFC 166: Velasquez vs. dos Santos III,"Oct 19, 2013"
484,UFC Fight Night: Maia vs. Shields,"Oct 9, 2013"
485,UFC 165: Jones vs. Gustafsson,"Sep 21, 2013"
486,UFC Fight Night: Teixeira vs. Bader,"Sep 4, 2013"
487,UFC 164: Henderson vs. Pettis 2,"Aug 31, 2013"
488,UFC Fight Night: Condit vs. Kampmann 2,"Aug 28, 2013"
489,UFC Fight Night: Shogun vs. Sonnen,"Aug 17, 2013"
490,UFC 163: Aldo vs. Korean Zombie,"Aug 3, 2013"
491,UFC on Fox: Johnson vs. Moraga,"Jul 27, 2013"
492,UFC 162: Silva vs. Weidman,"Jul 6, 2013"
493,UFC 161: Evans vs. Henderson,"Jun 15, 2013"
494,UFC on Fuel TV: Nogueira vs. Werdum,"Jun 8, 2013"
495,UFC 160: Velasquez vs. Bigfoot 2,"May 25, 2013"
496,UFC on FX: Belfort vs. Rockhold,"May 18, 2013"
497,UFC 159: Jones vs. Sonnen,"Apr 27, 2013"
498,UFC on Fox: Henderson vs. Melendez,"Apr 20, 2013"
499,The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,"Apr 13, 2013"
500,UFC on Fuel TV: Mousasi vs. Latifi,"Apr 6, 2013"
501,UFC 158: St-Pierre vs. Diaz,"Mar 16, 2013"
502,UFC on Fuel TV: Silva vs. Stann,"Mar 3, 2013"
503,UFC 157: Rousey vs. Carmouche,"Feb 23, 2013"
504,UFC on Fuel TV: Barão vs. McDonald,"Feb 16, 2013"
505,UFC 156: Aldo vs. Edgar,"Feb 2, 2013"
506,UFC on Fox: Johnson vs. Dodson,"Jan 26, 2013"
507,UFC on FX: Belfort vs. Bisping,"Jan 19, 2013"
508,UFC 155: dos Santos vs. Velasquez 2,"Dec 29, 2012"
509,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"Dec 15, 2012"
510,UFC on FX: Sotiropoulos vs. Pearson,"Dec 15, 2012"
511,UFC on Fox: Henderson vs. Diaz,"Dec 8, 2012"
512,UFC 154: St-Pierre vs. Condit,"Nov 17, 2012"
513,UFC on Fuel TV: Franklin vs. Le,"Nov 10, 2012"
514,UFC 153: Silva vs. Bonnar,"Oct 13, 2012"
515,UFC on FX: Browne vs. Bigfoot,"Oct 5, 2012"
516,UFC on Fuel TV: Struve vs. Miocic,"Sep 29, 2012"
517,UFC 152: Jones vs. Belfort,"Sep 22, 2012"
518,UFC 151: Jones vs. Henderson,"Sep 1, 2012"
519,UFC 150: Henderson vs. Edgar II,"Aug 11, 2012"
520,UFC on Fox: Shogun vs. Vera,"Aug 4, 2012"
521,UFC 149: Faber vs. Barão,"Jul 21, 2012"
522,UFC on Fuel TV: Muñoz vs. Weidman,"Jul 11, 2012"
523,UFC 148: Silva vs. Sonnen II,"Jul 7, 2012"
524,UFC 147: Silva vs. Franklin II,"Jun 23, 2012"
525,UFC on FX: Maynard vs. Guida,"Jun 22, 2012"
526,UFC on FX: Johnson vs. McCall 2,"Jun 8, 2012"
527,The Ultimate Fighter: Live Finale,"Jun 1, 2012"
528,UFC 146: dos Santos vs. Mir,"May 26, 2012"
529,UFC on Fuel TV: The Korean Zombie vs. Poirier,"May 15, 2012"
530,UFC on Fox: Diaz vs. Miller,"May 5, 2012"
531,UFC 145: Jones vs. Evans,"Apr 21, 2012"
532,UFC on Fuel TV: Gustafsson vs. Silva,"Apr 14, 2012"
533,UFC on FX: Alves vs. Kampmann,"Mar 3, 2012"
534,UFC 144: Edgar vs. Henderson,"Feb 26, 2012"
535,UFC on Fuel TV: Sanchez vs. Ellenberger,"Feb 15, 2012"
536,UFC 143: Diaz vs. Condit,"Feb 4, 2012"
537,UFC on Fox: Evans vs. Davis,"Jan 28, 2012"
538,UFC on FX: Guillard vs. Miller,"Jan 20, 2012"
539,UFC 142: Aldo vs. Mendes,"Jan 14, 2012"
540,UFC 141: Lesnar vs. Overeem,"Dec 30, 2011"
541,UFC 140: Jones vs. Machida,"Dec 10, 2011"
542,The Ultimate Fighter: Team Bisping vs. Team Miller Finale,"Dec 3, 2011"
543,UFC 139: Shogun vs. Henderson,"Nov 19, 2011"
544,UFC on Fox: Velasquez vs. dos Santos,"Nov 12, 2011"
545,UFC 138: Leben vs. Muñoz,"Nov 5, 2011"
546,UFC 137: Penn vs. Diaz,"Oct 29, 2011"
547,UFC 136: Edgar vs. Maynard III,"Oct 8, 2011"
548,UFC Live: Cruz vs. Johnson,"Oct 1, 2011"
549,UFC 135: Jones vs. Rampage,"Sep 24, 2011"
550,UFC Fight Night: Shields vs. Ellenberger,"Sep 17, 2011"
551,UFC 134: Silva vs. Okami,"Aug 27, 2011"
552,UFC Live: Hardy vs. Lytle,"Aug 14, 2011"
553,UFC 133: Evans vs. Ortiz,"Aug 6, 2011"
554,UFC 132: Cruz vs. Faber,"Jul 2, 2011"
555,UFC Live: Kongo vs. Barry,"Jun 26, 2011"
556,UFC 131: dos Santos vs. Carwin,"Jun 11, 2011"
557,The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,"Jun 4, 2011"
558,UFC 130: Rampage vs. Hamill,"May 28, 2011"
559,UFC 129: St-Pierre vs. Shields,"Apr 30, 2011"
560,UFC Fight Night: Nogueira vs. Davis,"Mar 26, 2011"
561,UFC 128: Shogun vs. Jones,"Mar 19, 2011"
562,UFC Live: Sanchez vs. Kampmann,"Mar 3, 2011"
563,UFC 127: Penn vs. Fitch,"Feb 27, 2011"
564,UFC 126: Silva vs. Belfort,"Feb 5, 2011"
565,UFC: Fight for the Troops 2,"Jan 22, 2011"
566,UFC 125: Resolution,"Jan 1, 2011"
567,UFC 124: St-Pierre vs. Koscheck 2,"Dec 11, 2010"
568,The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,"Dec 4, 2010"
569,UFC 123: Rampage vs. Machida,"Nov 20, 2010"
570,UFC 122: Marquardt vs. Okami,"Nov 13, 2010"
571,UFC 121: Lesnar vs. Velasquez,"Oct 23, 2010"
572,UFC 120: Bisping vs. Akiyama,"Oct 16, 2010"
573,UFC 119: Mir vs. Cro Cop,"Sep 25, 2010"
574,UFC Fight Night: Marquardt vs. Palhares,"Sep 15, 2010"
575,UFC 118: Edgar vs. Penn 2,"Aug 28, 2010"
576,UFC 117: Silva vs. Sonnen,"Aug 7, 2010"
577,UFC Live: Jones vs. Matyushenko,"Aug 1, 2010"
578,UFC 116: Lesnar vs. Carwin,"Jul 3, 2010"
579,The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,"Jun 19, 2010"
580,UFC 115: Liddell vs. Franklin,"Jun 12, 2010"
581,UFC 114: Rampage vs. Evans,"May 29, 2010"
582,UFC 113: Machida vs. Shogun 2,"May 8, 2010"
583,UFC 112: Invincible,"Apr 10, 2010"
584,UFC Fight Night: Florian vs. Gomi,"Mar 31, 2010"
585,UFC 111: St-Pierre vs. Hardy,"Mar 27, 2010"
586,UFC Live: Vera vs. Jones,"Mar 21, 2010"
587,UFC 110: Nogueira vs. Velasquez,"Feb 21, 2010"
588,UFC 109: Relentless,"Feb 6, 2010"
589,UFC Fight Night: Maynard vs. Diaz,"Jan 11, 2010"
590,UFC 108: Evans vs. Silva,"Jan 2, 2010"
591,UFC 107: Penn vs. Sanchez,"Dec 12, 2009"
592,The Ultimate Fighter: Heavyweights Finale,"Dec 5, 2009"
593,UFC 106: Ortiz vs. Griffin 2,"Nov 21, 2009"
594,UFC 105: Couture vs. Vera,"Nov 14, 2009"
595,UFC 104: Machida vs. Shogun,"Oct 24, 2009"
596,UFC 103: Franklin vs. Belfort,"Sep 19, 2009"
597,UFC Fight Night: Diaz vs. Guillard,"Sep 16, 2009"
598,UFC 102: Couture vs. Nogueira,"Aug 29, 2009"
599,UFC 101: Declaration,"Aug 8, 2009"
600,UFC 100,"Jul 11, 2009"
601,The Ultimate Fighter: United States vs. United Kingdom Finale,"Jun 20, 2009"
602,UFC 99: The Comeback,"Jun 13, 2009"
603,UFC 98: Evans vs. Machida,"May 23, 2009"
604,UFC 97: Redemption,"Apr 18, 2009"
605,UFC Fight Night: Condit vs. Kampmann,"Apr 1, 2009"
606,UFC 96: Jackson vs. Jardine,"Mar 7, 2009"
607,UFC 95: Sanchez vs. Stevenson,"Feb 21, 2009"
608,UFC Fight Night: Lauzon vs. Stephens,"Feb 7, 2009"
609,UFC 94: St-Pierre vs. Penn 2,"Jan 31, 2009"
610,UFC 93: Franklin vs. Henderson,"Jan 17, 2009"
611,UFC 92: The Ultimate 2008,"Dec 27, 2008"
612,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"Dec 13, 2008"
613,UFC: Fight for the Troops,"Dec 10, 2008"
614,UFC 91: Couture vs. Lesnar,"Nov 15, 2008"
615,UFC 90: Silva vs. Côté,"Oct 25, 2008"
616,UFC 89: Bisping vs. Leben,"Oct 18, 2008"
617,UFC Fight Night: Diaz vs. Neer,"Sep 17, 2008"
618,UFC 88: Breakthrough,"Sep 6, 2008"
619,UFC 87: Seek and Destroy,"Aug 9, 2008"
620,UFC Fight Night: Silva vs. Irvin,"Jul 19, 2008"
621,UFC 86: Jackson vs. Griffin,"Jul 5, 2008"
622,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,"Jun 21, 2008"
623,UFC 85: Bedlam,"Jun 7, 2008"
624,UFC 84: Ill Will,"May 24, 2008"
625,UFC 83: Serra vs. St-Pierre 2,"Apr 19, 2008"
626,UFC Fight Night: Florian vs. Lauzon,"Apr 2, 2008"
627,UFC 82: Pride of a Champion,"Mar 1, 2008"
628,UFC 81: Breaking Point,"Feb 2, 2008"
629,UFC Fight Night: Swick vs. Burkman,"Jan 23, 2008"
630,UFC 80: Rapid Fire,"Jan 19, 2008"
631,UFC 79: Nemesis,"Dec 29, 2007"
632,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,"Dec 8, 2007"
633,UFC 78: Validation,"Nov 17, 2007"
634,UFC 77: Hostile Territory,"Oct 20, 2007"
635,UFC 76: Knockout,"Sep 22, 2007"
636,UFC Fight Night: Thomas vs. Florian,"Sep 19, 2007"
637,UFC 75: Champion vs. Champion,"Sep 8, 2007"
638,UFC 74: Respect,"Aug 25, 2007"
639,UFC 73: Stacked,"Jul 7, 2007"
640,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,"Jun 23, 2007"
641,UFC 72: Victory,"Jun 16, 2007"
642,UFC Fight Night: Stout vs. Fisher,"Jun 12, 2007"
643,UFC 71: Liddell vs. Jackson,"May 26, 2007"
644,UFC 70: Nations Collide,"Apr 21, 2007"
645,UFC 69: Shootout,"Apr 7, 2007"
646,UFC Fight Night: Stevenson vs. Guillard,"Apr 5, 2007"
647,UFC 68: The Uprising,"Mar 3, 2007"
648,UFC 67: All or Nothing,"Feb 3, 2007"
649,UFC Fight Night: Evans vs. Salmon,"Jan 25, 2007"
650,UFC 66: Liddell vs. Ortiz,"Dec 30, 2006"
651,UFC Fight Night: Sanchez vs. Riggs,"Dec 13, 2006"
652,UFC 65: Bad Intentions,"Nov 18, 2006"
653,The Ultimate Fighter: The Comeback Finale,"Nov 11, 2006"
654,UFC 64: Unstoppable,"Oct 14, 2006"
655,UFC Fight Night 6.5,"Oct 10, 2006"
656,UFC 63: Hughes vs. Penn,"Sep 23, 2006"
657,UFC 62: Liddell vs. Sobral,"Aug 26, 2006"
658,UFC Fight Night 6,"Aug 17, 2006"
659,UFC 61: Bitter Rivals,"Jul 8, 2006"
660,UFC Ultimate Fight Night 5,"Jun 28, 2006"
661,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,"Jun 24, 2006"
662,UFC 60: Hughes vs. Gracie,"May 27, 2006"
663,UFC 59: Reality Check,"Apr 15, 2006"
664,UFC Ultimate Fight Night 4,"Apr 6, 2006"
665,UFC 58: USA vs. Canada,"Mar 4, 2006"
666,UFC 57: Liddell vs. Couture 3,"Feb 4, 2006"
667,UFC Ultimate Fight Night 3,"Jan 16, 2006"
668,UFC 56: Full Force,"Nov 19, 2005"
669,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,"Nov 5, 2005"
670,UFC 55: Fury,"Oct 7, 2005"
671,UFC Ultimate Fight Night 2,"Oct 3, 2005"
672,UFC 54: Boiling Point,"Aug 20, 2005"
673,UFC Ultimate Fight Night,"Aug 6, 2005"
674,UFC 53: Heavy Hitters,"Jun 4, 2005"
675,UFC 52: Couture vs. Liddell,"Apr 16, 2005"
676,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,"Apr 9, 2005"
677,UFC 51: Super Saturday,"Feb 5, 2005"
678,UFC 50: The War of '04,"Oct 22, 2004"
679,UFC 49: Unfinished Business,"Aug 21, 2004"
680,UFC 48: Payback,"Jun 19, 2004"
681,UFC 47: It's On!,"Apr 2, 2004"
682,UFC 46: Supernatural,"Jan 31, 2004"
683,UFC 45: Revolution,"Nov 21, 2003"
684,UFC 44: Undisputed,"Sep 26, 2003"
685,UFC 43: Meltdown,"Jun 6, 2003"
686,UFC 42: Sudden Impact,"Apr 25, 2003"
687,UFC 41: Onslaught,"Feb 28, 2003"
688,UFC 40: Vendetta,"Nov 22, 2002"
689,UFC 39: The Warriors Return,"Sep 27, 2002"
690,UFC 38: Brawl at the Hall,"Jul 13, 2002"
691,UFC 37.5: As Real As It Gets,"Jun 22, 2002"
692,UFC 37: High Impact,"May 10, 2002"
693,UFC 36: Worlds Collide,"Mar 22, 2002"
694,UFC 35: Throwdown,"Jan 11, 2002"
695,UFC 34: High Voltage,"Nov 2, 2001"
696,UFC 33: Victory in Vegas,"Sep 28, 2001"
697,UFC 32: Showdown in the Meadowlands,"Jun 29, 2001"
698,UFC 31: Locked and Loaded,"May 4, 2001"
699,UFC 30: Battle on the Boardwalk,"Feb 23, 2001"
700,UFC 29: Defense of the Belts,"Dec 16, 2000"
701,UFC 28: High Stakes,"Nov 17, 2000"
702,UFC 27: Ultimate Bad Boyz,"Sep 22, 2000"
703,UFC 26: Ultimate Field of Dreams,"Jun 9, 2000"
704,UFC 25: Ultimate Japan 3,"Apr 14, 2000"
705,UFC 24: First Defense,"Mar 10, 2000"
706,UFC 23: Ultimate Japan 2,"Nov 19, 1999"
707,UFC 22: Only One Can be Champion,"Sep 24, 1999"
708,UFC 21: Return of the Champions,"Jul 16, 1999"
709,UFC 20: Battle for the Gold,"May 7, 1999"
710,UFC 19: Ultimate Young Guns,"Mar 5, 1999"
711,UFC 18: The Road to the Heavyweight Title,"Jan 8, 1999"
712,UFC Brazil: Ultimate Brazil,"Oct 16, 1998"
713,UFC 17: Redemption,"May 15, 1998"
714,UFC 16: Battle in the Bayou,"Mar 13, 1998"
715,UFC Japan: Ultimate Japan,"Dec 21, 1997"
716,UFC 15: Collision Course,"Oct 17, 1997"
717,UFC 14: Showdown,"Jul 27, 1997"
718,UFC 13: The Ultimate Force,"May 30, 1997"
719,UFC 12: Judgement Day,"Feb 7, 1997"
720,UFC: The Ultimate Ultimate 2,"Dec 7, 1996"
721,UFC 11: The Proving Ground,"Sep 20, 1996"
722,UFC 10: The Tournament,"Jul 12, 1996"
723,UFC 9: Motor City Madness,"May 17, 1996"
724,UFC 8: David vs. Goliath,"Feb 16, 1996"
725,UFC: The Ultimate Ultimate,"Dec 16, 1995"
726,UFC 7: The Brawl in Buffalo,"Sep 8, 1995"
727,UFC 6: Clash of the Titans,"Jul 14, 1995"
728,UFC 5: The Return of the Beast,"Apr 7, 1995"
729,UFC 4: Revenge of the Warriors,"Dec 16, 1994"
730,UFC 3: The American Dream,"Sep 9, 1994"
731,UFC 2: No Way Out,"Mar 11, 1994"
732,UFC 1: The Beginning,"Nov 12, 1993"
