event,date,fighter_1,fighter_1_elo_before,fighter_1_elo_after,method,round,fighter_2,fighter_2_elo_before,fighter_2_elo_after
UFC 1: The Beginning,1993-11-12,Gerard Gordeau,1500.0,1512.0,KO/TKO,1,Teila Tuli,1500.0,1488.0
UFC 1: The Beginning,1993-11-12,Royce Gracie,1500.0,1512.414300586377,SUB,1,Gerard Gordeau,1512.0,1499.585699413623
UFC 1: The Beginning,1993-11-12,Jason DeLucia,1500.0,1512.0,SUB,1,Trent Jenkins,1500.0,1488.0
UFC 1: The Beginning,1993-11-12,Royce Gracie,1512.414300586377,1523.9857082163928,SUB,1,Ken Shamrock,1500.0,1488.4285923699842
UFC 1: The Beginning,1993-11-12,Kevin Rosier,1500.0,1512.0,KO/TKO,1,Zane Frazier,1500.0,1488.0
UFC 1: The Beginning,1993-11-12,Ken Shamrock,1488.4285923699842,1500.8281069230293,SUB,1,Patrick Smith,1500.0,1487.600485446955
UFC 1: The Beginning,1993-11-12,Royce Gracie,1523.9857082163928,1535.1585848171192,SUB,1,Art Jimmerson,1500.0,1488.8271233992737
UFC 1: The Beginning,1993-11-12,Gerard Gordeau,1499.585699413623,1512.0142917836072,KO/TKO,1,Kevin Rosier,1512.0,1499.5714076300158
UFC 2: No Way Out,1994-03-11,Royce Gracie,1535.1585848171192,1545.5261690765456,KO/TKO,1,Patrick Smith,1487.600485446955,1477.2329011875286
UFC 2: No Way Out,1994-03-11,Royce Gracie,1545.5261690765456,1555.9626890621512,SUB,1,Remco Pardoel,1500.0,1489.5634800143944
UFC 2: No Way Out,1994-03-11,Patrick Smith,1477.2329011875286,1490.018125314434,SUB,1,Johnny Rhodes,1500.0,1487.2147758730946
UFC 2: No Way Out,1994-03-11,Royce Gracie,1555.9626890621512,1566.4523238298832,SUB,1,Jason DeLucia,1512.0,1501.510365232268
UFC 2: No Way Out,1994-03-11,Remco Pardoel,1489.5634800143944,1501.9238362649285,KO/TKO,1,Orlando Wiet,1500.0,1487.639643749466
UFC 2: No Way Out,1994-03-11,Johnny Rhodes,1487.2147758730946,1499.6561626531147,SUB,1,Fred Ettish,1500.0,1487.5586132199799
UFC 2: No Way Out,1994-03-11,Patrick Smith,1490.018125314434,1502.3627922256246,KO/TKO,1,Scott Morris,1500.0,1487.6553330888094
UFC 2: No Way Out,1994-03-11,Royce Gracie,1566.4523238298832,1576.1847260350025,SUB,1,Minoki Ichihara,1500.0,1490.2675977948807
UFC 2: No Way Out,1994-03-11,Jason DeLucia,1501.510365232268,1513.4581993938452,SUB,1,Scott Baker,1500.0,1488.0521658384228
UFC 2: No Way Out,1994-03-11,Remco Pardoel,1501.9238362649285,1513.8573899934574,SUB,1,Alberta Cerra Leon,1500.0,1488.066446271471
UFC 2: No Way Out,1994-03-11,Orlando Wiet,1487.639643749466,1500.066375314519,KO/TKO,1,Robert Lucarelli,1500.0,1487.5732684349468
UFC 2: No Way Out,1994-03-11,Frank Hamaker,1500.0,1512.0,SUB,1,Thaddeus Luster,1500.0,1488.0
UFC 2: No Way Out,1994-03-11,Johnny Rhodes,1499.6561626531147,1511.668038370478,KO/TKO,1,David Levicki,1500.0,1487.9881242826368
UFC 2: No Way Out,1994-03-11,Patrick Smith,1502.3627922256246,1514.2811855313487,SUB,1,Ray Wizard,1500.0,1488.081606694276
UFC 2: No Way Out,1994-03-11,Scott Morris,1487.6553330888094,1500.0815234476756,SUB,1,Sean Daugherty,1500.0,1487.5738096411337
UFC 3: The American Dream,1994-09-09,Steve Jennum,1500.0,1512.0,KO/TKO,1,Harold Howard,1500.0,1488.0
UFC 3: The American Dream,1994-09-09,Ken Shamrock,1500.8281069230293,1512.7995051773457,SUB,1,Felix Lee Mitchell,1500.0,1488.0286017456835
UFC 3: The American Dream,1994-09-09,Ken Shamrock,1512.7995051773457,1524.357625815397,KO/TKO,1,Christophe Leninger,1500.0,1488.4418793619488
UFC 3: The American Dream,1994-09-09,Harold Howard,1488.0,1500.414300586377,KO/TKO,1,Roland Payne,1500.0,1487.585699413623
UFC 3: The American Dream,1994-09-09,Keith Hackney,1500.0,1512.0,KO/TKO,1,Emmanuel Yarborough,1500.0,1488.0
UFC 3: The American Dream,1994-09-09,Royce Gracie,1576.1847260350025,1585.5947767914795,SUB,1,Kimo Leopoldo,1500.0,1490.589949243523
UFC 4: Revenge of the Warriors,1994-12-16,Royce Gracie,1585.5947767914795,1594.696831390758,SUB,1,Dan Severn,1500.0,1490.8979454007215
UFC 4: Revenge of the Warriors,1994-12-16,Dan Severn,1490.8979454007215,1503.2122473280508,SUB,1,Marcus Bossett,1500.0,1487.6856980726707
UFC 4: Revenge of the Warriors,1994-12-16,Royce Gracie,1594.696831390758,1603.8933281824613,SUB,1,Keith Hackney,1512.0,1502.8035032082967
UFC 4: Revenge of the Warriors,1994-12-16,Steve Jennum,1512.0,1523.585699413623,SUB,1,Melton Bowen,1500.0,1488.414300586377
UFC 4: Revenge of the Warriors,1994-12-16,Dan Severn,1503.2122473280508,1515.1013033970416,SUB,1,Anthony Macias,1500.0,1488.1109439310092
UFC 4: Revenge of the Warriors,1994-12-16,Royce Gracie,1603.8933281824613,1612.4082426279936,SUB,1,Ron van Clief,1500.0,1491.4850855544678
UFC 4: Revenge of the Warriors,1994-12-16,Guy Mezger,1500.0,1512.0,KO/TKO,1,Jason Fairn,1500.0,1488.0
UFC 4: Revenge of the Warriors,1994-12-16,Marcus Bossett,1487.6856980726707,1500.1108409817934,KO/TKO,1,Eldo Xavier Dias,1500.0,1487.5748570908772
UFC 4: Revenge of the Warriors,1994-12-16,Joe Charles,1500.0,1511.9851969514773,SUB,1,Kevin Rosier,1499.5714076300158,1487.5862106785385
UFC 4: Revenge of the Warriors,1994-12-16,Keith Hackney,1502.8035032082967,1514.706675739361,SUB,1,Joe Son,1500.0,1488.0968274689358
UFC 5: The Return of the Beast,1995-04-07,Dan Severn,1515.1013033970416,1526.5800510661354,KO/TKO,1,Oleg Taktarov,1500.0,1488.5212523309065
UFC 5: The Return of the Beast,1995-04-07,Dan Severn,1526.5800510661354,1537.6637954795635,SUB,1,Dave Beneteau,1500.0,1488.9162555865719
UFC 5: The Return of the Beast,1995-04-07,Ken Shamrock,1524.357625815397,1527.3353086787297,Other,2,Royce Gracie,1612.4082426279936,1609.4305597646608
UFC 5: The Return of the Beast,1995-04-07,Dave Beneteau,1488.9162555865719,1501.2989447429895,KO/TKO,1,Todd Medina,1500.0,1487.6173108435823
UFC 5: The Return of the Beast,1995-04-07,Guy Mezger,1512.0,1523.585699413623,KO/TKO,1,John Dowdy,1500.0,1488.414300586377
UFC 5: The Return of the Beast,1995-04-07,Oleg Taktarov,1488.5212523309065,1500.9175700413027,SUB,1,Ernie Verdicia,1500.0,1487.6036822896037
UFC 5: The Return of the Beast,1995-04-07,Todd Medina,1487.6173108435823,1500.044812782679,SUB,1,Larry Cureton,1500.0,1487.5724980609034
UFC 5: The Return of the Beast,1995-04-07,Jon Hess,1500.0,1512.0,KO/TKO,1,Andy Anderson,1500.0,1488.0
UFC 5: The Return of the Beast,1995-04-07,Dave Beneteau,1501.2989447429895,1513.254080989991,KO/TKO,1,Asbel Cancio,1500.0,1488.0448637529985
UFC 5: The Return of the Beast,1995-04-07,Dan Severn,1537.6637954795635,1548.7784995061622,SUB,1,Joe Charles,1511.9851969514773,1500.8704929248786
UFC 6: Clash of the Titans,1995-07-14,Oleg Taktarov,1500.9175700413027,1512.8858783685002,SUB,1,David Abbott,1500.0,1488.0316916728025
UFC 6: Clash of the Titans,1995-07-14,Ken Shamrock,1527.3353086787297,1540.0749912983297,SUB,1,Dan Severn,1548.7784995061622,1536.0388168865622
UFC 6: Clash of the Titans,1995-07-14,Oleg Taktarov,1512.8858783685002,1524.0316298599723,SUB,1,Anthony Macias,1488.1109439310092,1476.965192439537
UFC 6: Clash of the Titans,1995-07-14,David Abbott,1488.0316916728025,1500.4448989688692,KO/TKO,1,Paul Varelans,1500.0,1487.5867927039333
UFC 6: Clash of the Titans,1995-07-14,Oleg Taktarov,1524.0316298599723,1535.659505861541,SUB,1,Dave Beneteau,1513.254080989991,1501.6262049884224
UFC 6: Clash of the Titans,1995-07-14,Patrick Smith,1514.2811855313487,1525.7882084684995,SUB,1,Rudyard Moncayo,1500.0,1488.4929770628491
UFC 6: Clash of the Titans,1995-07-14,Paul Varelans,1487.5867927039333,1500.0153473611729,KO/TKO,1,Cal Worsham,1500.0,1487.5714453427604
UFC 6: Clash of the Titans,1995-07-14,David Abbott,1500.4448989688692,1512.429532711264,KO/TKO,1,John Matua,1500.0,1488.0153662576051
UFC 6: Clash of the Titans,1995-07-14,Anthony Macias,1476.965192439537,1489.7596228422271,KO/TKO,1,He-Man Gipson,1500.0,1487.20556959731
UFC 6: Clash of the Titans,1995-07-14,Joel Sutton,1500.0,1512.0,KO/TKO,1,Jack McGlaughlin,1500.0,1488.0
UFC 7: The Brawl in Buffalo,1995-09-08,Marco Ruas,1500.0,1512.0005300790754,KO/TKO,1,Paul Varelans,1500.0153473611729,1488.0148172820975
UFC 7: The Brawl in Buffalo,1995-09-08,Ken Shamrock,1540.0749912983297,1539.922494044177,Other,2,Oleg Taktarov,1535.659505861541,1535.8120031156936
UFC 7: The Brawl in Buffalo,1995-09-08,Marco Ruas,1512.0005300790754,1524.064663137837,SUB,1,Remco Pardoel,1513.8573899934574,1501.7932569346958
UFC 7: The Brawl in Buffalo,1995-09-08,Paul Varelans,1488.0148172820975,1500.428606706949,SUB,1,Mark Hall,1500.0,1487.5862105751485
UFC 7: The Brawl in Buffalo,1995-09-08,Marco Ruas,1524.064663137837,1534.8088828997463,SUB,1,Larry Cureton,1487.5724980609034,1476.828278298994
