,fighter,final_elo
173,Sione Latu,1516.0
174,Joey Roberts,1484.0
175,Ron Waterman,1514.5741567059101
176,Chris Condo,1484.0
177,Fabiano Iha,1486.4786978640848
178,Marcelo Mello,1516.0
179,David Roberts,1484.0
180,Tony Petarra,1483.3622604847176
181,Travis Fulton,1501.5729821366467
182,Paul Jones,1499.1672855647644
183,Flavio Luiz Moura,1484.0
184,Andre Pederneiras,1486.7551655631858
185,Eugene Jackson,1481.859974563149
186,David Dodd,1468.072286701907
187,Tim Lajcik,1470.005907286064
188,Daiju Takase,1453.9286310885109
189,Jens Pulver,1552.1575129616501
190,Alfonso Alcarez,1500.0
191,John Lewis,1500.7024671725246
192,Lowell Anderson,1484.0
193,Matt Hughes,1609.2568385833072
194,Steve Judson,1468.003112567426
195,Kenichi Yamamoto,1517.054812988858
196,Katsuhisa Fujii,1500.736306793522
197,Joe Slick,1500.0747538502555
198,Masutatsu Yano,1483.263693206478
199,Keiichiro Yamamiya,1484.7024671725246
200,Shonie Carter,1498.04924707953
201,Brad Gumm,1484.736306793522
202,Scott Adams,1516.0
203,Ian Freeman,1515.0917172989837
204,David Velasquez,1484.0
205,Bob Cook,1516.0
206,Tiki Ghosn,1440.2131844808312
207,Dave Menne,1467.776752971138
208,Lance Gibson,1500.7024671725246
209,Jermaine Andre,1484.0
210,Tedd Williams,1498.561382879838
211,Sanae Kikuta,1517.4037778232891
212,Murilo Bustamante,1536.1539298869072
213,Ikuhisa Minowa,1516.7753690120394
214,Koji Oishi,1472.1480664484786
215,Satoshi Honma,1483.931168087648
216,Adrian Serrano,1484.736306793522
217,Nate Schroeder,1483.263693206478
218,Joao Roque,1484.736306793522
219,Marcelo Aguiar,1484.7040225341211
220,Alex Andrade,1483.3646607101468
221,John Alessio,1431.947759727149
222,Tyrone Roberts,1515.231712033484
223,Bobby Hoffman,1470.5551504117689
224,CJ Fernandes,1499.263693206478
225,Yuki Kondo,1484.991429481146
226,Alexandre Dantas,1468.8978755120245
227,Jeff Monson,1520.904392711804
228,Ben Earwood,1516.0
229,Chris Lytle,1534.3368661510497
230,Mark Hughes,1516.0
231,Alex Stiebling,1484.0
232,Andrei Arlovski,1520.4120184577084
233,Aaron Brink,1484.0
234,Josh Barnett,1569.1333736481708
235,Gan McGee,1503.3661265694884
236,Renato Sobral,1537.3366844782067
237,Matt Lindland,1578.0093282806943
238,Dennis Hallman,1500.4981987249494
239,Sean Sherk,1565.606109268754
240,Phil Baroni,1446.0019384233258
241,Curtis Stout,1468.736306793522
242,Mark Robinson,1500.0
243,Elvis Sinosic,1434.6407507141791
244,Phil Johns,1484.2380547586126
245,Caol Uno,1478.5359279109557
246,Matt Serra,1511.3353010842122
247,Ricardo Almeida,1523.6907739247517
248,BJ Penn,1491.1509069632223
249,Joey Gilbert,1484.0
250,Tony DeSouza,1496.1079682008915
251,Steve Berger,1469.4695015289756
252,Semmy Schilt,1500.097432847277
253,Paul Rodriguez,1484.736306793522
254,Ricco Rodriguez,1542.5400633838578
255,Vladimir Matyushenko,1531.101609936548
256,Din Thomas,1513.8212633198207
257,Yves Edwards,1480.4746776892407
258,Jutaro Nakao,1501.3358416109802
259,Gil Castillo,1488.039883173591
260,Frank Mir,1538.6644886443278
261,Homer Moore,1485.4185040045202
262,Amar Suloev,1471.4153137188523
263,Keith Rockel,1499.896967877474
264,Andrei Semenov,1499.3190372060749
265,Kelly Dullanty,1484.0969921300064
266,Hayato Sakurai,1485.3563524060278
267,Paul Creighton,1485.437806607274
268,Ivan Salaverry,1483.5976328597624
269,Benji Radach,1500.7070648447752
270,Robbie Lawler,1577.0258597197665
271,Aaron Riley,1462.4835218012463
272,Joao Pierini,1482.5118024885712
273,Rodrigo Ruas,1484.0
274,Pete Spratt,1484.1323746717094
275,Zach Light,1484.0
276,Nick Serra,1484.0
277,Genki Sudo,1515.2976013366472
278,Leigh Remedios,1484.0
279,Mark Weir,1483.9059880346226
280,Chris Haseman,1486.7164646540616
281,Phillip Miller,1531.995242496382
282,James Zikic,1484.0
283,Tim Sylvia,1573.8289794978125
284,Wesley Correira,1500.2183340201882
285,Travis Wiuff,1469.0533603582842
286,Rich Clementi,1503.5883499871259
287,Dave Strasser,1499.263693206478
288,Romie Aram,1484.0
289,Rich Franklin,1584.7532669262093
290,Duane Ludwig,1483.745809492161
291,Hermes Franca,1516.6706627628828
292,Richard Crunkilton,1484.0
293,David Loiseau,1486.0913854325097
294,Sean Alvarez,1483.263693206478
295,Falaniko Vitale,1505.044124286813
296,Eddie Ruiz,1484.0813012474107
297,Wes Sims,1457.42563824634
298,Vernon White,1489.2316196887093
299,Marvin Eastman,1458.7372218245976
300,Jorge Rivera,1522.9656536371467
301,Edwin DeWees,1455.7151718153252
302,Karo Parisyan,1551.520012912491
303,Josh Thomson,1496.245456965819
304,Gerald Strebendt,1484.0
305,Nick Diaz,1508.7224660779232
306,Jeremy Jackson,1468.7740213350469
307,Nick Agallar,1484.8136825641448
308,Chris Liguori,1483.2232692250725
309,Frank Trigg,1466.73836306195
310,Renato Verissimo,1487.3296796808581
311,Lee Murray,1516.770130232392
312,Jeff Curran,1453.5378991311195
313,Georges St-Pierre,1746.8934215362017
314,Mike Brown,1476.8180499672558
315,Jonathan Wiezorek,1516.0
316,Wade Shipp,1484.0
317,Mike Kyle,1514.1326688089732
318,Jay Hieron,1443.740801479261
319,Trevor Prangley,1496.197286252374
320,Ivan Menjivar,1481.9806871274652
321,Ronald Jhun,1483.3210754250601
322,Justin Eilers,1471.6919192603505
323,David Terrell,1522.271623678101
324,Joe Riggs,1478.7149656703596
325,Joe Doerksen,1438.007235369536
326,Patrick Cote,1519.2203520973944
327,Travis Lutter,1475.2215729292946
328,Drew Fickett,1518.9121684371114
329,Gideon Ray,1454.1395652973056
330,James Irvin,1474.0732520916558
331,Paul Buentello,1500.9464745901464
332,Pete Sell,1459.265457457346
